Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3290100,0.075058006466908,0,0.0236172442474032,0.0283039086754973,0,0.0890744970720242,0,0,0,0,0.0309767221621311,0,0.100164497260489,0.0723508150583821,0.00705287122843636,0.269924579127133,0,0.00781203082797281,0.108913887382189,0,0,0.186750940491434,0,0.447053933715394,0.893672404679734
GSM3290101,0.0603322611406542,0,0.0440065518084473,0.0294835107602181,0,0.139804398182747,0,0,0,0,0.0214071200806567,0,0.0989949589745941,0.0804469636166276,0.010725628317295,0.190762112461822,0,0.0568509352858036,0.164468377356879,0,0,0.102717182014256,0,0.42949067120346,0.903096460047906
GSM3290102,0.0731504534811419,0,0.0254955011412465,0.0360763177679782,0,0.113042882277549,0,0,0,0,0.0456454072318346,0,0.0299871222375945,0.0816874278312025,0.0363989941802063,0.196902309550198,0,0.118792053068641,0.124540551340119,0,0,0.118280979892289,0,0.406001384477887,0.913006715815616
GSM3290103,0.116314875964456,0,0.0403581026175371,0.0297168177113617,0,0.18790554612266,0,0,0,0,0.0356308459531739,0,0.0234810352899735,0.0129069462041281,0.00125070001818443,0.249734735623734,0,0.0956251784578583,0.182227064274216,0,0,0.0248481517627168,0,0.301421496032218,0.956096606959123
GSM3290104,0.0685455499104789,0,0.0276463781422149,0.0364592542219748,0,0.172000810029601,0,0,0,0,0.00684978356125978,0,0.01483342116428,0.144510990429409,0.00857165233192411,0.283296552807493,0,0.0429088900399614,0.191661714515012,0,0,0.00271500284639111,0,0.300457541246741,0.959758971133945
GSM3290105,0.074285833393046,0,0.0397579864160138,0.0475933470135254,0,0.21569366975996,0,0,0,0.00244797279270874,0.00570952643910795,0,0.0160962344363638,0.0863048949929549,0.00534936748754863,0.172825702098437,0,0.0223435541120123,0.210673693471004,0,0,0.100918217587319,0,0.30916256798788,0.954555211282476
GSM3290106,0.115446331184945,0,0.0482902179678383,0.0563056799348059,0,0.117573799907427,0,0,0,0,0.0322049776988563,0.000845914425632002,0.0209829620124523,0.0161786349983578,0.00414363262341359,0.266478532355913,0,0.0801618102826744,0.218095569226959,0,0,0.0232919373807252,0,0.388715823380243,0.920679394146813
GSM3290107,0.0915818278883292,0,0.0302581606071736,0.00994276912149307,0,0.159170376332128,0,0,0,0,0.0104536389664941,0.00270655475913548,0.00755536381078792,0.0824427894723961,0.0537791368037172,0.229174597690877,0,0.0362177904813595,0.238621984591752,0,0,0.0480950094743573,0,0.347335314116131,0.938558070049332
GSM3290108,0.131146300411381,0,0.0793089944127348,0.0504407397996533,0,0.19287711287479,0,0,0,0.00759024307580149,0.00468634714695627,0,0.00847047163115349,0.0499405376943686,0.0204637192024598,0.163146477746312,0,0.0392799872166708,0.22986965565059,0,0,0.0227794131371285,0,0.377483410511505,0.925771540549982
GSM3290109,0.0387676371951675,0,0.0113960870101417,0.336715646968242,0,0.0984703879802061,0.0240501971765689,0,0,0.156068975928239,0,0,0,0.0527891872899487,0.0617984236022863,0.123480320431162,0,0,0.0920596965686619,0,0,0.00440343984937499,0,0.431712211081704,0.903539485743581
GSM3290110,0.0638472474603064,0,0.0179140110759837,0.0254090877823339,0,0.0860100886896118,0,0,0,0,0.034721441147102,0,0.0313797048031167,0.110950140054985,0,0.176048168817815,0,0.163735853654776,0.21659443290625,0,0,0.0733898236077205,0,0.412685442765805,0.91015324888869
GSM3290111,0.0389365934584817,0,0.0215524691476117,0.0439069199441474,0,0.280981283786838,0,0,0,0,0.027609192648568,0.0115598480978747,0.0499011818773146,0.117502236155179,0.00911969641799043,0.110666479919548,0,0.0438808804880651,0.159257517499939,0,0,0.0851257005584422,0,0.272584763938464,0.969359903741353
GSM3290112,0.0826384268894265,0,0.064852970556163,0.0320920975736239,0,0.175123436595532,0,0,0,0.0542410639528933,0,0.00255064509521143,0.00813197928316114,0.0958714460420085,0,0.17969163325359,0,0.0804769727323227,0.18847365095679,0,0,0.0358556770692769,0,0.402405407624368,0.91495653375163
GSM3290113,0.140432339405455,0,0.172636733527403,0.148761540700673,0,0.10131315796639,0.015192162814235,0,0,0,0.0161751820341776,0,0.00526595903628516,0.0988197626864302,0.0610484066957941,0.10927067864996,0,0.023927124262504,0.0966329122570057,0,0,0.0105240399636871,0,0.482823974921204,0.87513678900768
GSM3290114,0.0426060446560205,0,0.0819902970121778,0.0546793890835239,0,0.139372809491838,0.00305205608438523,0,0,0,0.0289986027030096,0,0.00767893980068865,0.198337593628504,0.0152288092822613,0.339908746777021,0,0.00228406125286591,0.0468440916476389,0,0,0.0390185585800649,0,0.350035178305536,0.941362915567962
GSM3290115,0.0542553756605933,0,0.0272006038717176,0.0244794906511528,0,0.116441528405439,0.00134224309791647,0,0,0,0.0254536497276531,0,0.0241567727617682,0.112219685642053,0.00107979611985506,0.181342357695377,0,0.0442937507103221,0.331511876888025,0,0.0136987293845695,0.0425241393835571,0,0.30915936847817,0.958339781299836
GSM3290116,0.186003888835406,0,0.0567508238833568,0.0799180444674784,0,0.185437010836166,0,0.0129563000169372,0,0,0,0.0315102943437049,0.00974732677219513,0.0343605369699566,0.0204965611733894,0.11804375029449,0,0.0541223031255095,0.187819620716522,0,0,0.0228335385648878,0,0.333576792211114,0.945286089212466
GSM3290117,0.117029329768848,0,0.02794030390856,0.0138692725553632,0,0.190852504892381,0,0,0,0.00573639035164396,0.00483506231142653,0,0.0593117752558099,0.0452659355403229,0,0.173223272386283,0,0.0434011510863468,0.27336257284541,0,0,0.0451724290976059,0,0.348841166100261,0.938217204577055
GSM3290118,0.075747737079716,0,0.0212955196082497,0.0363497113655388,0,0.0946033204951808,0.00391435855329783,0,0,0,0.031050301815163,0,0.026137088719704,0.306888332871225,0.0116403427970452,0.232812504748122,0.00202811766332213,0,0.0895906578829285,0,0,0.067942006400508,0,0.305257223566683,0.966269254589179
GSM3290119,0.0549992067905723,0,0.00987494402481422,0.0204741174176176,0.0554933063489138,0.159094190748629,0.00662760178954785,0,0,0,0.0582222123502922,0,0.130665394523751,0,0,0.13355312801507,0,0.0102265046802662,0.0971346801860142,0,0,0.263634713124512,0,0.407611786877366,0.91536350845121
GSM3290120,0.0690041275888648,0,0.0488180099130197,0.0220071929460683,0,0.144905773596833,0,0,0,0,0.0183466958201265,0,0.0376916704748653,0.0754825632198381,0.01912683786511,0.180844219604801,0,0.145549563731251,0.209097492560581,0,0.0131758200849554,0.0159500325936861,0,0.407053006665141,0.912936314680317
